# 01/06/2025 10:33:18 AM: Prices - EPEX Spot Market Auction - germany_luxembourg - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
22/04/2025,"96.21,88.8,87.4,,85.01,84.58,97.39,120.76,151.54,147,111.88,95.2,89.97,79.92,67.66,71.47,78.45,83.07,100.04,122.38,192.32,263.2,157.28,122.28,109.6,67.66,263.2,89.36,113.57,111.01,74.38,124.45,163.09,112.64,103.28,89.9,101.46,92.69,122,132.8,83.19,83.26,161.18,80.45"
21/04/2025,"108.58,97.59,96.47,,96.84,97.98,98.54,97.07,91.31,88.5,87.99,65.24,33.88,17.19,8.91,8.43,10.01,50.05,88.77,101.95,121.95,139.14,132.1,122.77,106.54,8.43,139.14,99.87,96.23,68.9,11.14,90.68,125.14,81.99,56.91,99.33,98.05,40.02,107.08,91.22,31.31,39.32,120.74,23.94"
20/04/2025,"100.41,94.9,98.98,,97.41,98.83,108.64,109.38,94.32,68.6,18.63,0,-5.72,-34.99,-52.42,-40.05,-4.76,0,72.42,106.81,119.94,144.95,137.56,121.82,110.68,-52.42,144.95,97.93,102.79,20.38,-33.06,74.79,128.75,65.26,20.71,99.86,100.36,-6.34,109.82,72.73,-23.28,6.9,123.63,-22.99"
19/04/2025,"89.32,80.01,84.45,,82.39,84.98,90.62,95.2,91.67,83.89,76.43,29.99,4.54,0,-3.01,-7.26,-0.86,0.2,64.01,102.77,126.84,142.71,127.36,109.55,98.27,-7.26,142.71,84.04,90.62,48.71,-2.78,73.46,119.47,68.92,39.8,85.3,87.33,22.97,98.04,86.8,7.88,14.02,117.92,3.9"
18/04/2025,"91,81.3,79.12,,77.94,76.34,76.35,79.39,87.98,91.25,90.14,88.3,83.28,75.03,63.75,62.64,65.36,76.61,88.64,103.5,123.12,126.52,116.52,106.35,99.12,62.64,126.52,82.34,80.02,88.24,66.7,97.97,112.13,87.9,84.3,80.34,81.18,77.47,91.49,87.19,77.59,73.31,112.52,73.06"
17/04/2025,"88.99,83.99,81.67,,80.07,81.28,87.43,108.02,122.8,130,121,110,95.03,80.84,81.04,77.75,77.65,83.87,97.63,112.65,129,122.79,114.76,98.9,96.52,77.65,130,83.68,99.88,114.01,79.32,105.79,108.24,98.49,99.71,83.91,91.78,96.66,97.27,120.46,91.73,84.23,112.44,87.05"
16/04/2025,"88.01,82.04,82.2,,81.4,82.99,99.4,121,135.14,109.94,94.82,79.75,64.08,35.3,22.4,24.94,55,68,93.16,118,146.52,136.48,121,109.69,98.59,22.4,146.52,83.41,109.63,87.15,34.41,106.42,116.44,89.58,75.99,86.01,96.52,60.78,103.16,115.23,50.38,60.28,121.71,46.91"
15/04/2025,"72.93,73.2,67.38,,64.29,66.3,70.42,83.03,96.99,98.56,65,48.93,2.92,0.08,0,0.1,29.27,68.08,86.57,105.28,133.58,141.54,110.58,102.21,93.76,0,141.54,69.45,79.19,53.85,7.36,98.38,112.02,70.04,53.2,69.09,74.32,30.61,86.89,85.9,12.98,46.01,114.49,13.55"
14/04/2025,"87.56,82.69,82.11,,82.29,84.52,97.1,124.34,152.03,143.7,104.7,91.02,77.07,62.35,61.64,64.36,75.29,84.6,97.02,119.35,180,140.61,102.83,82.59,76,61.64,180,83.66,114.5,104.12,65.91,120.24,100.51,98.16,96.76,86.05,99.08,85.02,99.56,131.19,73.02,80.32,116.9,71.96"
13/04/2025,"63.99,56,42.36,,29.5,32.06,34.48,29.41,27.75,12.87,8.43,0,-0.02,-3.02,-18.84,-25.38,-9.93,-0.01,17.56,98.63,120.65,118.01,108.06,103.35,94.98,-25.38,120.65,47.96,30.93,5.32,-14.29,59.21,106.1,39.2,16.75,43.07,39.44,-4.49,61.66,19.62,-5.47,-4.44,107.28,-9.53"
