# 26/05/2025 10:34:21 AM: Prices - EPEX Spot Market Auction - austria - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
02/05/2025,"88.5,72.28,62.09,,61.94,66.31,77.22,87.97,78.78,58.02,10.18,0.85,-0.01,-0.8,-3,-4,-0.08,0.3,70.32,102.95,123.35,148.37,123.38,108.94,98.72,-4,148.37,71.2,77.57,17.26,-1.97,74.23,119.85,59.69,29.84,71.39,74.39,7.65,89.54,58.74,-0.74,16.64,117.62,-1.17"
01/05/2025,"99.97,94.21,92.4,,92.91,92.98,86.01,81.48,71.5,54.54,0,-3,-40.1,-77.37,-125.77,-118.05,-49.99,-5.17,36.75,97.68,129.32,163.14,119.99,99.9,86.35,-125.77,163.14,94.87,82.99,2.86,-92.8,64.65,117.35,44.99,-8.43,93.08,88.93,-44.97,98.4,51.88,-61.56,-34.12,116.06,-69.05"
30/04/2025,"95,90.09,89.47,,90,93.66,97.4,115,120.3,93.96,73.6,7.08,0,-1,-6.21,-3,-0.02,19.91,80.26,103.3,132.05,175.29,127.83,108.74,99.74,-6.21,175.29,91.14,106.59,43.66,-2.56,83.88,127.9,75.1,41.66,92.6,98.87,20.55,108.54,100.72,-0.03,24.29,124.49,-0.53"
29/04/2025,"92.48,88.38,83.66,,81.42,82.27,90.97,107,112.98,90.45,64.23,5.05,0,-0.76,-1.9,-1.68,-0.01,14.82,77.6,102,139.83,174.75,129.11,109.95,98.9,-1.9,174.75,86.49,98.31,39.93,-1.09,83.56,128.18,72.56,40.8,86.53,92.4,19.42,104.32,93.67,0.6,22.68,125.76,0.12"
28/04/2025,"93.67,88.1,83.67,,86.81,92.29,99.98,139.59,131.09,94.98,67.37,9.65,-0.01,-3.34,-5.9,-6.18,-1.54,2.01,72.36,102.31,149.9,187.08,128.83,106.06,96.92,-6.18,187.08,88.06,115.74,43,-4.24,81.65,129.72,75.65,40.13,90.75,101.9,19.38,111.17,108.26,0.1,16.66,128.52,-1.22"
27/04/2025,"70.08,61.35,58.05,,58.6,65.1,66.73,66.21,62.2,35.05,0.04,-3,-31.92,-85.96,-112.53,-107.38,-50.15,-5.17,18.35,93.97,110.33,123.6,108.65,99,94,-112.53,123.6,62.02,65.06,0.04,-89.01,54.37,106.31,33.13,-11.53,63.32,63.54,-44.48,77.8,40.88,-58.35,-36.09,104.93,-65.16"
26/04/2025,"97.68,94.55,93.92,,92.23,91.54,93.04,95.01,86.92,69.09,34.45,2.55,-0.01,-4.73,-12.51,-10.5,-2.08,-0.01,30.99,79.63,99.94,96.93,95.06,86.41,74.05,-12.51,99.94,94.6,91.63,26.52,-7.46,52.64,88.11,57.67,23.9,93.83,93.11,9.53,91.45,71.37,-3.68,4.6,88.67,-4.55"
25/04/2025,"91.34,83.05,82.23,,83.6,85.13,95.38,105.56,113.39,104.23,83.1,83.01,73.49,68.28,50.47,43.81,65.31,80.15,85.9,100.85,116.76,123.07,109.63,100.37,92.09,43.81,123.07,85.06,99.87,85.96,56.97,95.92,106.29,88.34,79.61,86.79,92.46,71.46,97.07,101.57,68.81,68.79,107.13,64.06"
24/04/2025,"95.84,90.13,88.44,,87.2,87.2,94.05,111.52,119.78,117.67,99.53,90.37,82.2,78.89,73.04,76.94,80.95,86.46,96.41,102.31,114.64,102.35,114.48,106.53,93.1,73.04,119.78,90.4,103.14,97.44,77.46,99.96,104.12,95.42,91.62,90.48,96.77,87.45,99.22,112.13,81.13,85.19,105.57,80.4"
23/04/2025,"107.93,100.28,96.84,,97.1,102.39,108.69,137.09,144.23,121.2,100.12,83.1,82.15,78.01,79.66,83.37,96.11,101.47,110.77,132.42,150,152.3,127.42,108.56,99.71,78.01,152.3,100.54,123.1,96.64,84.29,123.67,122,108.37,101.53,102.21,111.82,90.47,115.21,125.66,80.73,97.93,128.4,83.73"
22/04/2025,"97.09,89.63,88.38,,85.85,85.49,100,124.09,151.54,141.84,105.2,92.33,79.96,75.31,66.24,71.47,78.53,83.07,101.07,122.38,192.32,243.76,153.23,123.29,109.6,66.24,243.76,90.24,115.28,104.83,72.89,124.71,157.47,110.9,100.81,91.07,102.76,88.86,121,130.67,78.46,83.54,157.43,77.31"
21/04/2025,"106.94,99.75,94.76,,94.4,98.28,97.56,93.87,88.89,67.05,24.18,-18.58,-10.35,-37.98,-45.75,-8.04,8.85,44.11,78.05,99.94,120.93,138.67,132.1,122.77,106.48,-45.75,138.67,98.96,94.65,15.58,-20.73,85.76,125.01,66.54,26.87,98.62,96.81,-2.58,106.21,68.5,-28.17,30.74,120.15,-18.64"
20/04/2025,"102.61,98.68,95.59,,98.98,98.04,96,96.71,78.07,59.9,-3.72,-1.15,-52.27,-135.54,-132.83,-88.88,-9.93,0,64.08,106.99,112.84,138.58,129.56,121.4,111.24,-135.54,138.58,98.97,92.21,0.69,-91.8,70.98,125.2,49.37,-6.71,98.32,95.59,-45.55,105.46,57.74,-80.45,-8.68,120.1,-70.1"
19/04/2025,"94.47,84.25,88.84,,87.03,89.46,95.95,100.62,96.96,78.07,48.13,11.76,4.54,0,-2.47,-5.97,-0.72,0.2,66.48,105.75,132.75,136.64,131.46,109.96,100.91,-5.97,136.64,88.65,95.75,35.63,-2.29,76.3,119.74,68.96,36.54,90,92.2,16.67,101.38,80.95,3.46,15,119.58,1.19"
18/04/2025,"89.74,81.27,78,,77.81,79.38,78.8,80.9,85.08,85.7,86.51,88.94,88.95,80.56,69.98,66.09,68.28,78.07,93.55,109.24,127.36,136.76,119.71,107.94,100.45,66.09,136.76,81.71,81.04,87.53,71.23,102.06,116.22,89.96,86.94,80.83,81.37,79.38,92.99,84.55,82.11,76.5,116.91,77.13"
17/04/2025,"91.81,86.59,85.19,,84.47,86.25,92.4,110.38,123.44,115.91,69.1,29.18,2.36,-10.03,-0.31,0.01,70.06,89.9,101.98,115.9,131.47,125.56,113.82,98.9,96.92,-10.03,131.47,87.02,103.12,54.14,14.93,109.81,108.8,79.64,59.63,87.79,95.07,34.54,99.64,104.71,5.3,65.49,113.76,15.21"
16/04/2025,"89.91,85.04,85.19,,84.93,87.3,105.48,125.86,135.14,109.94,71.02,42.5,5.59,-1,-0.8,-2.57,0,61.59,95.97,118,151.75,153.28,122.4,110,98.59,-2.57,153.28,86.27,113.45,57.26,-1.09,106.83,121.07,80.63,54.33,89.64,99.86,28.09,106.93,110.49,11.57,38.75,125.67,7.29"
15/04/2025,"80.95,78.72,73.68,,71.34,73.63,83.84,99.98,111.77,110.93,106.66,100.98,99,100.92,95.53,85.23,95.24,96.28,96.3,111.78,141.82,150.09,116.15,106.69,99.99,71.34,150.09,76.17,92.31,104.39,94.23,111.55,118.23,99.48,103.39,77.03,84.24,99.31,95.57,107.34,99.11,93.26,121.09,96.15"
14/04/2025,"91.61,87.04,86.27,,86.63,89.51,104.16,123.6,152.03,143.7,110.25,100.06,87.47,82.42,78.18,71.56,81.2,97.01,102.95,125.62,165.43,150.03,107.33,88.77,81.52,71.56,165.43,87.89,117.33,110.37,78.34,122.75,106.91,103.93,103.82,90.87,102.61,94.36,104.04,132.4,87.03,88.18,119.78,83.48"
